Index,Company Name,Company Address,Company Country,Company Link,Industry,Batch,Sub Industry,Founded,Team Size,Company Status
38,Moonshine,"San Francisco, CA, USA",USA,https://www.ycombinator.com/companies/moonshine,B2B,Fall 2024,B2B,2024,2,Active
39,AutoComputer,"San Francisco, CA, USA",USA,https://www.ycombinator.com/companies/autocomputer,B2B,Fall 2024,B2B,2024,2,Active
40,Crustdata,,,https://www.ycombinator.com/companies/crustdata,B2B,Fall 2024,B2B -> Sales,,20,Active
41,Tiny,"Singapore, Singapore; Remote",Singapore,https://www.ycombinator.com/companies/tiny,B2B,Fall 2024,B2B,2024,3,Active
42,vly.ai,"San Francisco, CA, USA",USA,https://www.ycombinator.com/companies/vly-ai-2,B2B,Fall 2024,"B2B -> Engineering, Product and Design",2024,3,Active
43,Pearson Labs,"San Francisco, CA, USA",USA,https://www.ycombinator.com/companies/pearson-labs,B2B,Fall 2024,B2B -> Legal,2024,2,Active
44,Stewdio,"New York, NY, USA",USA,https://www.ycombinator.com/companies/stewdio,Consumer,Fall 2024,Consumer,2024,2,Active
45,Platus,,,https://www.ycombinator.com/companies/platus,B2B,Fall 2024,B2B -> Legal,2024,15,Active
46,Unusual,"San Francisco, CA, USA",USA,https://www.ycombinator.com/companies/unusual,B2B,Fall 2024,B2B -> Marketing,2024,2,Active
47,Charm,"New York, NY, USA",USA,https://www.ycombinator.com/companies/withcharm,Consumer,Fall 2024,Consumer -> Social,2024,1,Active
48,HYBRD,"Boston, MA, USA",USA,https://www.ycombinator.com/companies/hybrd,Consumer,Fall 2024,Consumer,2024,5,Active
49,Codebuff,,,https://www.ycombinator.com/companies/codebuff,B2B,Fall 2024,"B2B -> Engineering, Product and Design",2024,2,Active
50,Karmen,,,https://www.ycombinator.com/companies/karmen,Real Estate and Construction,Fall 2024,Real Estate and Construction -> Construction,2024,2,Active
51,Lingo.dev,"San Francisco, CA, USA; Remote",USA,https://www.ycombinator.com/companies/lingodotdev,B2B,Fall 2024,"B2B -> Engineering, Product and Design",2024,6,Active
52,Sphinx,,,https://www.ycombinator.com/companies/sphinx,Fintech,Fall 2024,Fintech,2024,11,Active
53,Luthor,"San Francisco, CA, USA",USA,https://www.ycombinator.com/companies/luthor,B2B,Fall 2024,B2B,2024,3,Active
54,Keye,"New York, NY, USA",USA,https://www.ycombinator.com/companies/keye,Fintech,Fall 2024,Fintech,2024,3,Active
55,RiskCube,"San Francisco, CA, USA",USA,https://www.ycombinator.com/companies/riskcube,Fintech,Fall 2024,Fintech -> Insurance,2024,2,Active
56,CTGT,"San Francisco, CA, USA",USA,https://www.ycombinator.com/companies/ctgt,B2B,Fall 2024,B2B -> Infrastructure,2024,7,Active
57,RevisionDojo,,,https://www.ycombinator.com/companies/revisiondojo,Education,Fall 2024,Education,2023,10,Active
58,ISSEN,"New York, NY, USA",USA,https://www.ycombinator.com/companies/issen,Consumer,Fall 2024,Consumer,2024,1,Active
59,attimet,"San Francisco, CA, USA",USA,https://www.ycombinator.com/companies/attimet,Fintech,Fall 2024,Fintech,2024,3,Active
60,Smooth,,,https://www.ycombinator.com/companies/smooth,B2B,Fall 2024,"B2B -> Engineering, Product and Design",2024,2,Active
61,Reticular,"San Francisco, CA, USA",USA,https://www.ycombinator.com/companies/reticular,Healthcare,Fall 2024,Healthcare -> Drug Discovery and Delivery,2024,2,Active
62,Matcha,"New York, NY, USA",USA,https://www.ycombinator.com/companies/astrix-health,Healthcare,Fall 2024,Healthcare,2024,2,Active
63,Cosmic,"San Francisco, CA, USA",USA,https://www.ycombinator.com/companies/cosmic-new,B2B,Fall 2024,B2B,2024,5,Active
64,Cekura,"San Francisco, CA, USA",USA,https://www.ycombinator.com/companies/cekura-ai,B2B,Fall 2024,"B2B -> Engineering, Product and Design",2024,15,Active
65,Archil,"San Francisco, CA, USA",USA,https://www.ycombinator.com/companies/archil,B2B,Fall 2024,B2B -> Infrastructure,2024,7,Active
66,Sandra AI,"Miami, FL, USA",USA,https://www.ycombinator.com/companies/sandra-ai,B2B,Fall 2024,B2B,2024,3,Active
67,Vespper,Remote,Remote,https://www.ycombinator.com/companies/vespper,B2B,Fall 2024,B2B -> Productivity,2024,2,Active
68,VortexifyAI,"New York, NY, USA",USA,https://www.ycombinator.com/companies/vortexifyai,B2B,Fall 2024,B2B -> Supply Chain and Logistics,2024,3,Active
69,Revyl,"San Francisco, CA, USA",USA,https://www.ycombinator.com/companies/revyl,B2B,Fall 2024,B2B -> Infrastructure,2024,7,Active
70,Raycaster,"New York, NY, USA",USA,https://www.ycombinator.com/companies/raycaster,B2B,Fall 2024,B2B -> Productivity,2024,3,Active
71,Lightscreen AI,,,https://www.ycombinator.com/companies/lightscreen-ai,B2B,Fall 2024,B2B -> Recruiting and Talent,2024,2,Active
72,Afternoon.co,"New York, NY, USA",USA,https://www.ycombinator.com/companies/afternoon-co,B2B,Fall 2024,B2B -> Finance and Accounting,2024,4,Active
73,Rulebase,,,https://www.ycombinator.com/companies/rulebase,B2B,Fall 2024,B2B -> Operations,,2,Active
74,HealthSpark,"San Francisco, CA, USA",USA,https://www.ycombinator.com/companies/healthspark,Healthcare,Fall 2024,Healthcare,2024,1,Active
75,OpenFunnel,,,https://www.ycombinator.com/companies/openfunnel,B2B,Fall 2024,B2B -> Sales,2024,4,Active
76,Darkgrade,"New York, NY, USA",USA,https://www.ycombinator.com/companies/darkgrade,B2B,Fall 2024,B2B -> Infrastructure,2024,1,Active
77,Getcho,"New York, NY, USA; Remote",USA,https://www.ycombinator.com/companies/getcho,B2B,Fall 2024,B2B -> Supply Chain and Logistics,2022,3,Active
78,Candle,"San Francisco, CA, USA",USA,https://www.ycombinator.com/companies/candle,Consumer,Fall 2024,Consumer,2025,2,Active
79,Moonset Health,,,https://www.ycombinator.com/companies/moonset-health,B2B,Fall 2024,B2B -> Sales,2024,4,Active
80,Durate,"San Francisco, CA, USA",USA,https://www.ycombinator.com/companies/durate,Healthcare,Fall 2024,Healthcare -> Healthcare IT,2024,2,Active
81,Crouton,"New York, NY, USA",USA,https://www.ycombinator.com/companies/crouton,B2B,Fall 2024,B2B -> Operations,2024,1,Active
82,Streamable,"San Francisco, CA, USA",USA,https://www.ycombinator.com/companies/streamable,Consumer,Fall 2024,Consumer,2024,4,Active
83,Symphony,"New York, NY, USA",USA,https://www.ycombinator.com/companies/symphony,B2B,Fall 2024,B2B,2024,5,Active
84,telli,"Berlin, Berlin, Germany",Germany,https://www.ycombinator.com/companies/telli,B2B,Fall 2024,B2B,2024,16,Active
85,Avora,,,https://www.ycombinator.com/companies/avora,Healthcare,Fall 2024,Healthcare,2024,4,Active
86,Galini,"San Francisco, CA, USA; Remote",USA,https://www.ycombinator.com/companies/galini,B2B,Fall 2024,B2B,2024,2,Active
87,Riveter AI,"San Francisco, CA, USA",USA,https://www.ycombinator.com/companies/riveter-ai,B2B,Fall 2024,"B2B -> Engineering, Product and Design",2024,2,Active
88,Clarus,"New York, NY, USA",USA,https://www.ycombinator.com/companies/clarus,B2B,Fall 2024,"B2B -> Engineering, Product and Design",2025,2,Active
89,Variant,"San Francisco, CA, USA",USA,https://www.ycombinator.com/companies/variant,B2B,Fall 2024,"B2B -> Engineering, Product and Design",2024,5,Active
90,Gander,"New York, NY, USA",USA,https://www.ycombinator.com/companies/gander,B2B,Fall 2024,B2B -> Operations,2024,7,Acquired
91,supercontrast,"San Francisco, CA, USA; Remote",USA,https://www.ycombinator.com/companies/supercontrast,B2B,Fall 2024,"B2B -> Engineering, Product and Design",2024,2,Inactive
92,Gait,"San Francisco, CA, USA",USA,https://www.ycombinator.com/companies/gait,B2B,Fall 2024,B2B,2024,2,Inactive
93,Zeroframe,"San Francisco, CA, USA",USA,https://www.ycombinator.com/companies/zeroframe,B2B,Fall 2024,B2B,2024,2,Inactive
94,JSX Tool,,,https://www.ycombinator.com/companies/jsx-tool,B2B,Fall 2025,"B2B -> Engineering, Product and Design",2025,2,Active
95,Zephyr Fusion,"San Diego, CA, USA",USA,https://www.ycombinator.com/companies/zephyr-fusion,Industrials,Fall 2025,Industrials -> Energy,2025,2,Active
96,Mayflower,"San Francisco, CA, USA",USA,https://www.ycombinator.com/companies/mayflower,Government,Fall 2025,Government,2025,2,Active
97,item,"San Francisco, CA, USA",USA,https://www.ycombinator.com/companies/item,B2B,Fall 2025,B2B -> Sales,2024,6,Active
98,Rivet,"San Francisco, CA, USA",USA,https://www.ycombinator.com/companies/rivet-design,B2B,Fall 2025,"B2B -> Engineering, Product and Design",2025,5,Active
99,Openroll,"Stockholm, Stockholm County, Sweden",Sweden,https://www.ycombinator.com/companies/openroll,B2B,Fall 2025,B2B,2024,4,Active
100,Fixpoint,,,https://www.ycombinator.com/companies/fixpoint,B2B,Fall 2025,B2B -> Human Resources,2023,2,Active
101,Bear,"San Francisco, CA, USA",USA,https://www.ycombinator.com/companies/bear,B2B,Fall 2025,B2B -> Marketing,2025,2,Active
102,Moss,"San Mateo, CA, USA",USA,https://www.ycombinator.com/companies/moss,B2B,Fall 2025,B2B,2024,3,Active
103,Zarna,"San Francisco, CA, USA",USA,https://www.ycombinator.com/companies/zarna,B2B,Fall 2025,B2B -> Finance and Accounting,2025,4,Active
104,MarkIt,"San Francisco, CA, USA",USA,https://www.ycombinator.com/companies/markit,B2B,Fall 2025,B2B -> Supply Chain and Logistics,2025,2,Active
105,Dome,,,https://www.ycombinator.com/companies/dome,B2B,Fall 2025,B2B -> Infrastructure,2025,2,Active
106,Clicks,,,https://www.ycombinator.com/companies/clicks,B2B,Fall 2025,B2B -> Productivity,2025,3,Active
107,Fastshot,,,https://www.ycombinator.com/companies/fastshot,B2B,Fall 2025,"B2B -> Engineering, Product and Design",2025,3,Active
108,Claybird,"San Francisco, CA, USA",USA,https://www.ycombinator.com/companies/claybird,B2B,Fall 2025,B2B -> Marketing,2025,4,Active
109,LunaBill,"San Francisco, CA, USA",USA,https://www.ycombinator.com/companies/lunabill,Healthcare,Fall 2025,Healthcare -> Healthcare IT,2025,4,Active
110,Axial Composites Industries,,,https://www.ycombinator.com/companies/axial-composites-industries,Industrials,Fall 2025,Industrials -> Aviation and Space,2025,1,Active
111,Velvet,"San Francisco, CA, USA",USA,https://www.ycombinator.com/companies/velvet,B2B,Fall 2025,B2B,2025,2,Active
112,DiligenceSquared,"San Francisco, CA, USA",USA,https://www.ycombinator.com/companies/diligencesquared-inc,B2B,Fall 2025,B2B -> Analytics,2025,3,Active
113,Amera,,,https://www.ycombinator.com/companies/amera,Fintech,Fall 2025,Fintech -> Insurance,2025,2,Active
114,Forge Robotics,"San Francisco, CA, USA",USA,https://www.ycombinator.com/companies/forge-robotics,Industrials,Fall 2025,Industrials -> Manufacturing and Robotics,2025,3,Active
115,Bluma,"San Francisco, CA, USA",USA,https://www.ycombinator.com/companies/bluma,B2B,Fall 2025,B2B -> Marketing,2025,2,Active
116,Lightberry,"San Francisco, CA, USA",USA,https://www.ycombinator.com/companies/lightberry,Industrials,Fall 2025,Industrials -> Manufacturing and Robotics,2025,3,Active
117,The Hog,,,https://www.ycombinator.com/companies/the-hog,B2B,Fall 2025,B2B -> Marketing,2025,2,Active
118,Telemetron,,,https://www.ycombinator.com/companies/telemetron-ai,B2B,Fall 2025,B2B,2025,2,Active
119,Boom AI,"San Francisco, CA, USA",USA,https://www.ycombinator.com/companies/boom-ai,B2B,Fall 2025,B2B,2025,3,Active
120,Freeport Markets,"New York, NY, USA",USA,https://www.ycombinator.com/companies/freeport-markets,Fintech,Fall 2025,Fintech -> Consumer Finance,2025,3,Active
121,Miniswap,"San Francisco, CA, USA",USA,https://www.ycombinator.com/companies/miniswap,Consumer,Fall 2025,Consumer -> Gaming,2025,2,Active
122,Rovi Health,"New York, NY, USA",USA,https://www.ycombinator.com/companies/rovi-health,Healthcare,Fall 2025,Healthcare,2025,3,Active
123,Castari,,,https://www.ycombinator.com/companies/castari,B2B,Fall 2025,B2B -> Infrastructure,2025,3,Active
124,Jarmin,"San Francisco, CA, USA",USA,https://www.ycombinator.com/companies/jarmin,B2B,Fall 2025,B2B,2025,,Active
125,Exonic,"San Francisco, CA, USA",USA,https://www.ycombinator.com/companies/exonic,Healthcare,Fall 2025,Healthcare -> Drug Discovery and Delivery,2025,3,Active
126,Lemma,"San Francisco, CA, USA",USA,https://www.ycombinator.com/companies/uselemma,B2B,Fall 2025,"B2B -> Engineering, Product and Design",2025,2,Active
127,Mantle,,,https://www.ycombinator.com/companies/mantle,B2B,Fall 2025,B2B -> Operations,2025,2,Active
128,Karumi,,,https://www.ycombinator.com/companies/karumi,B2B,Fall 2025,B2B -> Sales,2025,6,Active
129,Icarus,"Los Angeles, CA, USA",USA,https://www.ycombinator.com/companies/icarus,Industrials,Fall 2025,Industrials -> Defense,2023,16,Active
130,Sava,,,https://www.ycombinator.com/companies/savahq,Fintech,Fall 2025,Fintech,2025,3,Active
131,Denki,"San Francisco, CA, USA",USA,https://www.ycombinator.com/companies/denki,B2B,Fall 2025,B2B -> Finance and Accounting,2025,2,Active
132,Arcten,"San Francisco, CA, USA",USA,https://www.ycombinator.com/companies/arcten,B2B,Fall 2025,B2B,2025,2,Active
133,Metorial,Remote,Remote,https://www.ycombinator.com/companies/metorial,B2B,Fall 2025,B2B,2025,4,Active
134,Kalpa Labs,,,https://www.ycombinator.com/companies/kalpa-labs,B2B,Fall 2025,B2B,2025,2,Active
135,Absurd,,,https://www.ycombinator.com/companies/absurd,B2B,Fall 2025,B2B -> Marketing,2025,4,Active
136,Clad Labs,"San Francisco, CA, USA",USA,https://www.ycombinator.com/companies/clad-labs,Consumer,Fall 2025,Consumer,2025,2,Active
137,Automax.ai,"San Francisco, CA, USA",USA,https://www.ycombinator.com/companies/automax-ai,Real Estate and Construction,Fall 2025,Real Estate and Construction -> Housing and Real Estate,2025,4,Active
138,Specific,"Stockholm, Stockholm County, Sweden",Sweden,https://www.ycombinator.com/companies/specific,B2B,Fall 2025,"B2B -> Engineering, Product and Design",2025,2,Active
139,Primer,"San Francisco, CA, USA",USA,https://www.ycombinator.com/companies/primer,B2B,Fall 2025,B2B,2025,2,Active
140,Narrative,"San Francisco, CA, USA",USA,https://www.ycombinator.com/companies/usenarrative,B2B,Fall 2025,B2B -> Marketing,2025,7,Active
141,Crunched,,,https://www.ycombinator.com/companies/crunched,B2B,Fall 2025,B2B -> Finance and Accounting,2025,5,Active
142,Lua Global Inc,,,https://www.ycombinator.com/companies/lua-global-inc,B2B,Fall 2025,B2B,2025,5,Active
143,Spatial AI,"Palo Alto, CA, USA",USA,https://www.ycombinator.com/companies/spatial-ai,B2B,Fall 2025,B2B,2025,,Active
144,Sourcebot,"San Francisco, CA, USA",USA,https://www.ycombinator.com/companies/sourcebot,B2B,Fall 2025,"B2B -> Engineering, Product and Design",2024,2,Active
145,Zalos,,,https://www.ycombinator.com/companies/zalos,B2B,Fall 2025,B2B -> Operations,2025,2,Active
146,HireGlide,"San Francisco, CA, USA",USA,https://www.ycombinator.com/companies/hireglide,B2B,Fall 2025,B2B -> Recruiting and Talent,2025,2,Active
147,Aside,"San Francisco, CA, USA",USA,https://www.ycombinator.com/companies/aside,B2B,Fall 2025,B2B -> Sales,2024,3,Active
148,Scott AI,"New York, NY, USA",USA,https://www.ycombinator.com/companies/scott-ai,B2B,Fall 2025,B2B,2025,2,Active
149,Everest,"San Francisco, CA, USA",USA,https://www.ycombinator.com/companies/everest,B2B,Fall 2025,B2B,2025,,Active
150,Expected Parrot,"Cambridge, MA, USA",USA,https://www.ycombinator.com/companies/expected-parrot,B2B,Fall 2025,B2B,2024,5,Active
151,Imagine AI,"San Francisco, CA, USA",USA,https://www.ycombinator.com/companies/imagine-ai,B2B,Fall 2025,B2B -> Sales,2025,2,Active
152,Anto Biosciences,"San Francisco, CA, USA",USA,https://www.ycombinator.com/companies/anto-biosciences,Healthcare,Fall 2025,Healthcare,2025,2,Active
153,Patent Watch,"Toronto, ON, Canada",Canada,https://www.ycombinator.com/companies/patent-watch,B2B,Fall 2025,B2B,2025,2,Active
154,s2.dev,"San Francisco, CA, USA",USA,https://www.ycombinator.com/companies/s2-dev,B2B,Fall 2025,B2B -> Infrastructure,2024,5,Active
155,Tornyol,,,https://www.ycombinator.com/companies/tornyol,Consumer,Fall 2025,Consumer -> Consumer Electronics,,3,Active
156,Nucleo,,,https://www.ycombinator.com/companies/nucleo,Healthcare,Fall 2025,Healthcare,2025,2,Active
157,Leadbay,"San Francisco, CA, USA",USA,https://www.ycombinator.com/companies/leadbay,B2B,Fall 2025,B2B -> Sales,,8,Active
158,Pixley AI,"San Francisco, CA, USA",USA,https://www.ycombinator.com/companies/pixley-ai,Consumer,Fall 2025,Consumer -> Content,2025,2,Active
159,Cortex AI,"San Francisco, CA, USA",USA,https://www.ycombinator.com/companies/cortex-ai,Industrials,Fall 2025,Industrials -> Manufacturing and Robotics,2025,3,Active
160,Inspector,"San Francisco, CA, USA",USA,https://www.ycombinator.com/companies/inspector,B2B,Fall 2025,"B2B -> Engineering, Product and Design",2025,2,Active
161,Thesis,"San Francisco, CA, USA",USA,https://www.ycombinator.com/companies/thesis,B2B,Fall 2025,B2B,2025,2,Active
162,Play Health,"Boulder, CO, USA",USA,https://www.ycombinator.com/companies/play-health,Healthcare,Fall 2025,Healthcare,2025,4,Active
163,Casey,,,https://www.ycombinator.com/companies/casey,Fintech,Fall 2025,Fintech -> Insurance,2025,3,Active
164,Selfin,"San Francisco, CA, USA",USA,https://www.ycombinator.com/companies/selfin,Fintech,Fall 2025,Fintech -> Consumer Finance,2025,2,Active
165,Compyle,"San Francisco, CA, USA",USA,https://www.ycombinator.com/companies/compyle,B2B,Fall 2025,"B2B -> Engineering, Product and Design",2025,2,Active
166,Lexi,"San Francisco, CA, USA",USA,https://www.ycombinator.com/companies/lexi,B2B,Fall 2025,B2B -> Legal,2025,4,Active
167,Codyco,,,https://www.ycombinator.com/companies/codyco,B2B,Fall 2025,B2B,2025,4,Active
168,ComplyDo,,,https://www.ycombinator.com/companies/complydo,B2B,Fall 2025,B2B -> Legal,2025,5,Active
169,Bravi,"San Francisco, CA, USA",USA,https://www.ycombinator.com/companies/bravi,B2B,Fall 2025,B2B,2025,2,Active
170,Rovr,"San Francisco, CA, USA",USA,https://www.ycombinator.com/companies/rovr,B2B,Fall 2025,"B2B -> Engineering, Product and Design",2025,3,Active
171,Sunflower,,,https://www.ycombinator.com/companies/sunflower,Consumer,Fall 2025,Consumer,2024,15,Active
172,Redapto,"San Francisco, CA, USA",USA,https://www.ycombinator.com/companies/redapto,B2B,Fall 2025,B2B,2025,2,Active
173,Articulate,"San Francisco, CA, USA",USA,https://www.ycombinator.com/companies/articulate,Real Estate and Construction,Fall 2025,Real Estate and Construction -> Construction,2025,2,Active
174,Aleph Lab,"San Francisco, CA, USA",USA,https://www.ycombinator.com/companies/aleph-lab,Consumer,Fall 2025,Consumer,2025,1,Active
175,Logical,"San Francisco, CA, USA",USA,https://www.ycombinator.com/companies/logical,B2B,Fall 2025,B2B -> Productivity,2025,2,Active
176,Tensr,"San Francisco, CA, USA",USA,https://www.ycombinator.com/companies/tensr,Industrials,Fall 2025,Industrials -> Manufacturing and Robotics,2025,3,Active
177,Kestrel AI,"San Francisco, CA, USA",USA,https://www.ycombinator.com/companies/kestrel-ai,B2B,Fall 2025,B2B -> Security,2025,2,Active
178,LogosGuard,"San Francisco, CA, USA",USA,https://www.ycombinator.com/companies/logosguard,B2B,Fall 2025,B2B,2025,2,Active
179,Sciloop,"San Francisco, CA, USA",USA,https://www.ycombinator.com/companies/sciloop,B2B,Fall 2025,B2B -> Productivity,2025,2,Active
180,Multifactor,"San Francisco, CA, USA",USA,https://www.ycombinator.com/companies/multifactor,B2B,Fall 2025,B2B -> Security,2025,2,Active
181,Allus AI,"Atlanta, GA, USA",USA,https://www.ycombinator.com/companies/allus-ai,Industrials,Fall 2025,Industrials -> Manufacturing and Robotics,2025,3,Active
182,Unsiloed AI,"San Francisco, CA, USA",USA,https://www.ycombinator.com/companies/unsiloed-ai,B2B,Fall 2025,B2B,2025,2,Active
183,SF Tensor,,,https://www.ycombinator.com/companies/sf-tensor,B2B,Fall 2025,B2B -> Infrastructure,2025,4,Active
184,AnswerThis,,,https://www.ycombinator.com/companies/answerthis,Consumer,Fall 2025,Consumer,2024,6,Active
185,Nivara,"San Francisco, CA, USA",USA,https://www.ycombinator.com/companies/nivara,B2B,Fall 2025,B2B -> Infrastructure,2025,2,Active
186,Lakonia,"San Francisco, CA, USA",USA,https://www.ycombinator.com/companies/lakonia,Government,Fall 2025,Government,2025,2,Active
187,SellRaze,"San Francisco, CA, USA",USA,https://www.ycombinator.com/companies/sellraze,Consumer,Fall 2025,Consumer,2023,2,Active
188,Mod AI,,,https://www.ycombinator.com/companies/mod-ai,B2B,Fall 2025,B2B,2025,4,Active
189,Semble AI,"San Francisco, CA, USA",USA,https://www.ycombinator.com/companies/semble-ai,B2B,Fall 2025,"B2B -> Engineering, Product and Design",2025,2,Active
190,Flick,,,https://www.ycombinator.com/companies/flick,Consumer,Fall 2025,Consumer -> Content,2025,2,Active
191,hillclimb,"San Francisco, CA, USA",USA,https://www.ycombinator.com/companies/hillclimb,B2B,Fall 2025,"B2B -> Engineering, Product and Design",2025,3,Active
192,AtlasGrid,"Mountain View, CA, USA; Remote",USA,https://www.ycombinator.com/companies/atlasgrid,B2B,Fall 2025,"B2B -> Engineering, Product and Design",2025,6,Active
193,Wardstone,,,https://www.ycombinator.com/companies/wardstone,Industrials,Fall 2025,Industrials -> Aviation and Space,2025,2,Active
194,Nessie,"San Francisco, CA, USA",USA,https://www.ycombinator.com/companies/nessie,Consumer,Fall 2025,Consumer,2025,2,Active
195,Hypercubic,,,https://www.ycombinator.com/companies/hypercubic,B2B,Fall 2025,B2B,2025,2,Active
196,Cranston AI,"San Francisco, CA, USA",USA,https://www.ycombinator.com/companies/cranston-ai,B2B,Fall 2025,B2B -> Finance and Accounting,2025,2,Active
197,Questom,,,https://www.ycombinator.com/companies/questom,B2B,Fall 2025,B2B -> Sales,2025,2,Active
198,Veria Labs,"San Francisco, CA, USA",USA,https://www.ycombinator.com/companies/veria-labs,B2B,Fall 2025,B2B -> Security,2025,3,Active
199,Iris,"San Francisco, CA, USA",USA,https://www.ycombinator.com/companies/iriscal,Consumer,Fall 2025,Consumer,2025,2,Active
